pair_id,cosine_sim,sim_bucket,ensemble_majority,ensemble_confidence,verdict_sonnet,verdict_openai,verdict_gemini,shared_clients,item_a_title,item_a_lede,item_a_published_at,item_b_title,item_b_lede,item_b_published_at,human_label
p0180,0.5612467527389526,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG-JPMorgan Asset Management Form 8.3 - Cove Energy Plc,,2012-03-05 00:00:00,REG - JPMorgan Asian Inv - Ten Largest Investments,,2012-03-08 00:00:00,
p0181,0.5695918202400208,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Google'],"Techquity: China vs.Google, more trouble for HP's board",,2013-03-05 00:00:00,"The Zacks Analyst Blog Highlights: Hewlett-Packard, Google, Microsoft, CIBER and Washington Post",,2013-03-06 00:00:00,
p0182,0.5583530068397522,"[0.55, 0.60)",,routed_to_human,UNCLEAR,UNCLEAR,DIFFERENT,['JPMorgan'],"Premier appoints BofA, JPM to lead initial public offering",,2013-02-04 00:00:00,"JPMorgan adds Morgan Stanley, Credit Suisse advisers",,2013-02-07 00:00:00,
p0183,0.5841487050056458,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],VisionMAX and Verizon Wireless Show Futuristic Retail Solutions at 2012 CES,,2012-01-10 00:00:00,HID Global and Yale Locks Open Doors With Verizon Wireless Smartphones at 2012 CES,,2012-01-10 00:00:00,
p0184,0.55926513671875,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Ford'],"Ford to shorten ""summer shutdown"" in North America",,2012-05-08 00:00:00,Ford's gearhead gadfly may skip the annual meeting,,2012-05-09 00:00:00,
p0185,0.5822467803955078,"[0.55, 0.60)",,routed_to_human,UNCLEAR,SAME,DIFFERENT,['Apple'],"Apple set to unwrap mini-iPad to take on Amazon, Google",,2012-10-22 00:00:00,Apple in miniature,,2012-10-24 00:00:00,
p0186,0.5784454345703125,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],U.S. Stocks Rise as Confidence Gains Amid Stimulus Bets,"U.S. stocks rose, sending the Standard & Poor’s 500 Index trading to another record, as consumer confidence gained and investors bet central banks worldwide will continue their efforts to stimulate the economy. Apple Inc. (AAPL) climbed 2.9 percent as the iPhone maker sold $17 billion of bonds in the biggest U.S. corporate offering on record. Avon Products Inc. (AVP) gained 4.1 percent after earnings topped analysts’ forecasts. Pfizer Inc. (PFE) dropped 4.5 percent as the world’s biggest drugmaker reported earnings that fell short of analysts’ projections. Newmont Mining Corp. (NEM) lost 4.6 p",2013-04-30 21:33:00,China Stocks Rebound From 4-Month Low on Financial Shares,"China’s stocks rose the most in a
week, led by financial companies, after valuations on the
benchmark index dropped to a four-month low. Poly Real Estate Group Co. and Haitong Securities Co.
advanced at least 1.4 percent, driving financial stocks to the
 biggest gain in two weeks. Drugmaker Yunnan Baiyao Group Co. and
Goertek Inc., a supplier to Apple Inc., surged to record highs.
BYD Co., the automaker partially owned by Warren Buffett ’s
Berkshire Hathaway Inc., jumped 6.5 percent after the Shanghai
Securities News reported the government may issue subsidies for
renewable-energy cars. The Sh",2013-05-03 07:25:15,
p0187,0.5570214986801147,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],"BRIEF-Trader sentenced to 9 months prison, ordered to pay Goldman $118 mln over S&P; 500 e-mini futures trade",,2013-12-06 00:00:00,Ex-Goldman Sachs banker jailed in UK in Nigerian corruption case,,2013-12-09 00:00:00,
p0188,0.5858181715011597,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Google'],AngelList reportedly raises $24M from Google Ventures & others,,2013-09-23 00:00:00,Urban Compass Valued at $150 Million After Funding Round,"After selling two Internet startups
to Google Inc. (GOOG) and Twitter Inc., Ori Allon plans to announce a
$20 million funding round today for a company that sifts through
another kind of complex data: New York apartment rentals. The investment in Urban Compass -- started by Allon and
Robert Reffkin, a veteran of Goldman Sachs Group Inc. (GS) -- values
the company at $150 million, according to a person with
knowledge of the terms. That’s five times the value of the
company at its $8 million seed round in November 2012, said the
person, who asked not to be identified because the information
is p",2013-09-25 18:07:50,
p0189,0.575667142868042,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],REG-JPMorgan Asset Management Form 8.3 - Cove Energy Plc,,2012-03-05 00:00:00,REG - JPMorgan Inc&Grwth; - Ten Largest Investments,,2012-03-08 00:00:00,
p0190,0.5950122475624084,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Citigroup'],Citigroup can't block Abu Dhabi arbitration over $7.5 bln stake,,2013-11-25 00:00:00,UPDATE 1-Citigroup seeks to end financier Hands' U.S. lawsuit over EMI,,2013-11-28 00:00:00,
p0191,0.5761851668357849,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Verizon'],US court rejects Verizon Wireless challenge to roaming rule,,2012-12-04 00:00:00,Judge denies bid to block Verizon's $7.5 billion pension transfer,,2012-12-07 00:00:00,
p0192,0.5971882939338684,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Goldman Sachs'],HanesBrands Announces Participation at Goldman Sachs and CL King Investor Conferences,,2012-08-28 00:00:00,"Pier 1 Imports, Inc. to Present at the Goldman Sachs Nineteenth Annual Global Retailing Conference",,2012-08-30 00:00:00,
p0193,0.5758422613143921,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Facebook'],Several brokerages stop taking Facebook IPO orders,,2012-05-16 00:00:00,Nasdaq Sets Up Appeals Process for Missed Facebook Orders,"Nasdaq OMX Group Inc. (NDAQ) set up an
appeals process for traders whose Facebook Inc. (FB) trades didn’t go
through, giving them a deadline of 5 p.m. New York time to
submit requests. Nasdaq OMX said traders with questions about orders placed
between 11:11 a.m. and 11:30 a.m. New York time should contact
the exchange operator at +1-212-231-5100. “Our intention is to reach resolution of those trades
today through an offline matching process,” Nasdaq said in an
e-mailed statement. “If at the end of that process, a firm
continues to have questions or concerns, the firm needs to
submit a formal a",2012-05-18 20:31:33,
p0194,0.5750167369842529,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Ford'],Ford Delivers 4 Millionth SYNC In-Car Connectivity System; 9 Million More Expected by 2015,,2012-01-09 00:00:00,Ford First to Enable iHeartRadio App Inside the Car Using Voice Control,,2012-01-11 00:00:00,
p0195,0.5808678865432739,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['JPMorgan'],Haemonetics to Provide an Update on Key Growth Initiatives at J.P. Morgan Health Care Conference,,2013-01-04 00:00:00,CytoDyn to Attend 31st Annual J.P. Morgan Healthcare Conference,,2013-01-07 00:00:00,
p0196,0.5787878036499023,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Boeing'],"Japan's airlines back Boeing, as battery probes make slow progress",,2013-01-25 00:00:00,Battery Charger Aboard 787 Cleared in Fire Investigation,"U.S. investigators examining the
battery charger from a Boeing Co. (BA) 787 that caught fire this
month in Boston have found no evidence of flaws that could have
caused the incident. The U.S. National Transportation Safety Board has completed
testing of the charger at the Tucson, Arizona , plant where it
was made by Securaplane Technologies Inc. , the agency said in an
e-mailed release today. Securaplane is a division of
Christchurch, England-based Meggitt Plc. (MGGT) The NTSB also said it examined a device known as an
auxiliary power unit, which contained the lithium-ion battery
that burned o",2013-01-27 20:45:42,
p0197,0.5514708757400513,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Toyota'],"General Electric, Toyota Double Structured Notes Sales in 2012","General Electric Capital Corp. and
Toyota Motor Credit Corp. have each increased market share in
the shrinking U.S. structured notes market, selling more than
twice as many of the securities as the same period last year. General Electric Capital, the largest non-bank structured
note issuer in the U.S., sold $525 million of rate-linked
structured notes this year, 3.5 times more than last year,
according to data compiled by Bloomberg. Toyota has sold $215
million in rate-linked notes, more than twice as much as in
2011. Investors are buying more structured notes from non-bank
issuers this year b",2012-10-26 14:48:39,Toyota Extends Global Lead Over GM on Quarterly Gain,"Toyota Motor Corp. (7203) ’s worldwide sales
grew 18 percent last quarter on U.S. demand for Camry sedans and
Prius hybrids and helped Asia ’s largest automaker expand its
lead over General Motors Co. (GM) , the global volume leader in 2011. Toyota delivered 2.43 million cars and trucks in the
quarter that ended Sept. 30, including subsidiaries Hino Motors
Ltd. (7205) and Daihatsu Motor Co. (7262) , up from 2.06 million a year ago,
according to figures provided by Yurika Motoyoshi, a company
spokeswoman, yesterday. Its sales rose 28 percent to 7.4 million
units through September. GM had 2.28 m",2012-10-26 22:00:01,
p0198,0.5720268487930298,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['ExxonMobil'],Reuters Summit: Jim Chanos bets against Buffett on Exxon,,2013-11-19 00:00:00,Warren Buffett's Exxon Bungle,"How often do you make a decision to sell something for a giant gain? Quite a few times across the arc of a career, if you are a half-decent investor. But how often is that sell decision a terrible mistake? Today, I want to tell the tale of Warren Buffett’s bungled profit-taking in Exxon. We all have war stories of the profitable sale that should never have been made. I took profits in a 2001 purchase of Apple at $15 (pre-split) at $43 to buy a house. (It was post-iPod, pre-iPhone). So who am I to criticize the sale of XOM? Before I proceed with today’s blasphemy, allow me a few caveats: I have",2013-11-20 12:40:58,
p0199,0.5684682130813599,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Apple'],"NI Technology Research Updates Outlooks for GT Advanced Technologies, Apple, Corning, Qualcomm and TriQuint Semiconductor",,2013-11-12 00:00:00,"Development of New Products, New Appointments, Stock Price Update, and Collaborations - Research Report on Apple, Harman, Sony, Philips, and iRobot",,2013-11-13 00:00:00,
p0200,0.5945076942443848,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Facebook'],Exclusive: Regulators may review Morgan Stanley-Facebook allegations,,2012-05-22 00:00:00,Bernstein Liebhard LLP Partner Stanley D. Bernstein Interviewed By Thomson Reuters Concerning Facebook Inc. IPO Lawsuits,,2012-05-25 00:00:00,
p0201,0.5836423635482788,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Bank of America'],Norfolk Southern CEO to address Bank of America Merrill Lynch Global Transportation Conference,,2012-05-04 00:00:00,Informatica to Present at Bank of America Merrill Lynch Technology Conference,,2012-05-07 00:00:00,
p0202,0.561052143573761,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Facebook'],Trading at Noon: Facebook Makes its Debut,,2012-05-18 00:00:00,3XSQ: Facebook may drop below IPO Price,,2012-05-21 00:00:00,
p0203,0.5970988869667053,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Morgan Stanley'],Comcast to Participate in Morgan Stanley Investor Conference,,2013-02-18 00:00:00,"PROS Holdings, Inc. to Present at the Morgan Stanley Technology, Media & Telecom Conference",,2013-02-20 00:00:00,
p0204,0.576690137386322,"[0.55, 0.60)",DIFFERENT,3_of_3,DIFFERENT,DIFFERENT,DIFFERENT,['Boeing'],EXCLUSIVE-Japan eased safety standards ahead of Boeing 787 rollout,,2013-01-28 00:00:00,Japan to send 2 officials to US for Boeing battery probe,,2013-01-31 00:00:00,
